frase,categoria,frase_norm,tokens,bigrams,trigrams
quiero fresas,Rutinas Diarias (Acciones y Hogar),quiero fresas,"['quiero', 'fresas']",['quiero fresas'],[]
hay postre,Rutinas Diarias (Acciones y Hogar),hay postre,"['hay', 'postre']",['hay postre'],[]
quiero pastel,Rutinas Diarias (Acciones y Hogar),quiero pastel,"['quiero', 'pastel']",['quiero pastel'],[]
no me gusta eso,Rutinas Diarias (Acciones y Hogar),no me gusta eso,"['no', 'me', 'gusta', 'eso']","['no me', 'me gusta', 'gusta eso']","['no me gusta', 'me gusta eso']"
dame verduras,Alimentacion (Comidas y Bebidas),dame verduras,"['dame', 'verduras']",['dame verduras'],[]
quiero papas fritas,Familia y Personas,quiero papas fritas,"['quiero', 'papas', 'fritas']","['quiero papas', 'papas fritas']",['quiero papas fritas']
comemos pizza,Alimentacion (Comidas y Bebidas),comemos pizza,"['comemos', 'pizza']",['comemos pizza'],[]
tengo ganas de algo dulce,Rutinas Diarias (Acciones y Hogar),tengo ganas de algo dulce,"['tengo', 'ganas', 'de', 'algo', 'dulce']","['tengo ganas', 'ganas de', 'de algo', 'algo dulce']","['tengo ganas de', 'ganas de algo', 'de algo dulce']"
me das chocolate,Rutinas Diarias (Acciones y Hogar),me das chocolate,"['me', 'das', 'chocolate']","['me das', 'das chocolate']",['me das chocolate']
quiero una fruta,Alimentacion (Comidas y Bebidas),quiero una fruta,"['quiero', 'una', 'fruta']","['quiero una', 'una fruta']",['quiero una fruta']
cuando comemos,Preguntas Simples (Peticiones de informacion),cuando comemos,"['cuando', 'comemos']",['cuando comemos'],[]
lavame las manos para comer,Alimentacion (Comidas y Bebidas),lavame las manos para comer,"['lavame', 'las', 'manos', 'para', 'comer']","['lavame las', 'las manos', 'manos para', 'para comer']","['lavame las manos', 'las manos para', 'manos para comer']"
pon la mesa,Rutinas Diarias (Acciones y Hogar),pon la mesa,"['pon', 'la', 'mesa']","['pon la', 'la mesa']",['pon la mesa']
quiero un sandwich,Rutinas Diarias (Acciones y Hogar),quiero un sandwich,"['quiero', 'un', 'sandwich']","['quiero un', 'un sandwich']",['quiero un sandwich']
alcanzame el vaso,Rutinas Diarias (Acciones y Hogar),alcanzame el vaso,"['alcanzame', 'el', 'vaso']","['alcanzame el', 'el vaso']",['alcanzame el vaso']
dame mi plato,Rutinas Diarias (Acciones y Hogar),dame mi plato,"['dame', 'mi', 'plato']","['dame mi', 'mi plato']",['dame mi plato']
quiero la cuchara,Rutinas Diarias (Acciones y Hogar),quiero la cuchara,"['quiero', 'la', 'cuchara']","['quiero la', 'la cuchara']",['quiero la cuchara']
se me cayo la comida,Rutinas Diarias (Acciones y Hogar),se me cayo la comida,"['se', 'me', 'cayo', 'la', 'comida']","['se me', 'me cayo', 'cayo la', 'la comida']","['se me cayo', 'me cayo la', 'cayo la comida']"
tengo mucha hambre,Necesidades Basicas (Higiene y Fisiologia),tengo mucha hambre,"['tengo', 'mucha', 'hambre']","['tengo mucha', 'mucha hambre']",['tengo mucha hambre']
quiero tomar algo,Rutinas Diarias (Acciones y Hogar),quiero tomar algo,"['quiero', 'tomar', 'algo']","['quiero tomar', 'tomar algo']",['quiero tomar algo']
me sirves mas por favor,Rutinas Diarias (Acciones y Hogar),me sirves mas por favor,"['me', 'sirves', 'mas', 'por', 'favor']","['me sirves', 'sirves mas', 'mas por', 'por favor']","['me sirves mas', 'sirves mas por', 'mas por favor']"
ya termine,Rutinas Diarias (Acciones y Hogar),ya termine,"['ya', 'termine']",['ya termine'],[]
puedo comer galletas,Alimentacion (Comidas y Bebidas),puedo comer galletas,"['puedo', 'comer', 'galletas']","['puedo comer', 'comer galletas']",['puedo comer galletas']
guardame un poco,Rutinas Diarias (Acciones y Hogar),guardame un poco,"['guardame', 'un', 'poco']","['guardame un', 'un poco']",['guardame un poco']
quiero un caramelo,Rutinas Diarias (Acciones y Hogar),quiero un caramelo,"['quiero', 'un', 'caramelo']","['quiero un', 'un caramelo']",['quiero un caramelo']
la comida huele bien,Rutinas Diarias (Acciones y Hogar),la comida huele bien,"['la', 'comida', 'huele', 'bien']","['la comida', 'comida huele', 'huele bien']","['la comida huele', 'comida huele bien']"
no quiero mas,Rutinas Diarias (Acciones y Hogar),no quiero mas,"['no', 'quiero', 'mas']","['no quiero', 'quiero mas']",['no quiero mas']
solo un poco,Rutinas Diarias (Acciones y Hogar),solo un poco,"['solo', 'un', 'poco']","['solo un', 'un poco']",['solo un poco']
me gusta el pescado,Rutinas Diarias (Acciones y Hogar),me gusta el pescado,"['me', 'gusta', 'el', 'pescado']","['me gusta', 'gusta el', 'el pescado']","['me gusta el', 'gusta el pescado']"
quiero carne,Alimentacion (Comidas y Bebidas),quiero carne,"['quiero', 'carne']",['quiero carne'],[]
dame la mandarina,Rutinas Diarias (Acciones y Hogar),dame la mandarina,"['dame', 'la', 'mandarina']","['dame la', 'la mandarina']",['dame la mandarina']
quiero uvas,Rutinas Diarias (Acciones y Hogar),quiero uvas,"['quiero', 'uvas']",['quiero uvas'],[]
tengo antojo de papas,Familia y Personas,tengo antojo de papas,"['tengo', 'antojo', 'de', 'papas']","['tengo antojo', 'antojo de', 'de papas']","['tengo antojo de', 'antojo de papas']"
bebamos limonada,Rutinas Diarias (Acciones y Hogar),bebamos limonada,"['bebamos', 'limonada']",['bebamos limonada'],[]
esta delicioso,Rutinas Diarias (Acciones y Hogar),esta delicioso,"['esta', 'delicioso']",['esta delicioso'],[]
esto no me gusta,Rutinas Diarias (Acciones y Hogar),esto no me gusta,"['esto', 'no', 'me', 'gusta']","['esto no', 'no me', 'me gusta']","['esto no me', 'no me gusta']"
puedo tomar gaseosa,Necesidades Basicas (Higiene y Fisiologia),puedo tomar gaseosa,"['puedo', 'tomar', 'gaseosa']","['puedo tomar', 'tomar gaseosa']",['puedo tomar gaseosa']
dame un vaso de agua,Alimentacion (Comidas y Bebidas),dame un vaso de agua,"['dame', 'un', 'vaso', 'de', 'agua']","['dame un', 'un vaso', 'vaso de', 'de agua']","['dame un vaso', 'un vaso de', 'vaso de agua']"
la comida esta salada,Rutinas Diarias (Acciones y Hogar),la comida esta salada,"['la', 'comida', 'esta', 'salada']","['la comida', 'comida esta', 'esta salada']","['la comida esta', 'comida esta salada']"
le falta sal,Rutinas Diarias (Acciones y Hogar),le falta sal,"['le', 'falta', 'sal']","['le falta', 'falta sal']",['le falta sal']
quiero picar algo,Rutinas Diarias (Acciones y Hogar),quiero picar algo,"['quiero', 'picar', 'algo']","['quiero picar', 'picar algo']",['quiero picar algo']
dame un snack,Alimentacion (Comidas y Bebidas),dame un snack,"['dame', 'un', 'snack']","['dame un', 'un snack']",['dame un snack']
comamos fideos,Rutinas Diarias (Acciones y Hogar),comamos fideos,"['comamos', 'fideos']",['comamos fideos'],[]
me gusta la pasta,Alimentacion (Comidas y Bebidas),me gusta la pasta,"['me', 'gusta', 'la', 'pasta']","['me gusta', 'gusta la', 'la pasta']","['me gusta la', 'gusta la pasta']"
quiero comer huevo,Alimentacion (Comidas y Bebidas),quiero comer huevo,"['quiero', 'comer', 'huevo']","['quiero comer', 'comer huevo']",['quiero comer huevo']
dame mi lonchera,Rutinas Diarias (Acciones y Hogar),dame mi lonchera,"['dame', 'mi', 'lonchera']","['dame mi', 'mi lonchera']",['dame mi lonchera']
que hay en mi lonchera,Preguntas Simples (Peticiones de informacion),que hay en mi lonchera,"['que', 'hay', 'en', 'mi', 'lonchera']","['que hay', 'hay en', 'en mi', 'mi lonchera']","['que hay en', 'hay en mi', 'en mi lonchera']"
quiero una hamburguesa,Alimentacion (Comidas y Bebidas),quiero una hamburguesa,"['quiero', 'una', 'hamburguesa']","['quiero una', 'una hamburguesa']",['quiero una hamburguesa']
tengo hambre todavia,Necesidades Basicas (Higiene y Fisiologia),tengo hambre todavia,"['tengo', 'hambre', 'todavia']","['tengo hambre', 'hambre todavia']",['tengo hambre todavia']
me muero de hambre,Necesidades Basicas (Higiene y Fisiologia),me muero de hambre,"['me', 'muero', 'de', 'hambre']","['me muero', 'muero de', 'de hambre']","['me muero de', 'muero de hambre']"
vamos por un helado,Rutinas Diarias (Acciones y Hogar),vamos por un helado,"['vamos', 'por', 'un', 'helado']","['vamos por', 'por un', 'un helado']","['vamos por un', 'por un helado']"
brindemos con agua,Alimentacion (Comidas y Bebidas),brindemos con agua,"['brindemos', 'con', 'agua']","['brindemos con', 'con agua']",['brindemos con agua']
mi barriga suena,Rutinas Diarias (Acciones y Hogar),mi barriga suena,"['mi', 'barriga', 'suena']","['mi barriga', 'barriga suena']",['mi barriga suena']
quiero comer ya,Alimentacion (Comidas y Bebidas),quiero comer ya,"['quiero', 'comer', 'ya']","['quiero comer', 'comer ya']",['quiero comer ya']
pasame el pan,Alimentacion (Comidas y Bebidas),pasame el pan,"['pasame', 'el', 'pan']","['pasame el', 'el pan']",['pasame el pan']
quiero queso,Rutinas Diarias (Acciones y Hogar),quiero queso,"['quiero', 'queso']",['quiero queso'],[]
me das mermelada,Rutinas Diarias (Acciones y Hogar),me das mermelada,"['me', 'das', 'mermelada']","['me das', 'das mermelada']",['me das mermelada']
tengo ganas de un te,Alimentacion (Comidas y Bebidas),tengo ganas de un te,"['tengo', 'ganas', 'de', 'un', 'te']","['tengo ganas', 'ganas de', 'de un', 'un te']","['tengo ganas de', 'ganas de un', 'de un te']"
mi comida favorita,Rutinas Diarias (Acciones y Hogar),mi comida favorita,"['mi', 'comida', 'favorita']","['mi comida', 'comida favorita']",['mi comida favorita']
no me llene,Rutinas Diarias (Acciones y Hogar),no me llene,"['no', 'me', 'llene']","['no me', 'me llene']",['no me llene']
voy a la tienda a comprar algo,Rutinas Diarias (Acciones y Hogar),voy a la tienda a comprar algo,"['voy', 'a', 'la', 'tienda', 'a', 'comprar', 'algo']","['voy a', 'a la', 'la tienda', 'tienda a', 'a comprar', 'comprar algo']","['voy a la', 'a la tienda', 'la tienda a', 'tienda a comprar', 'a comprar algo']"
dame dinero para un dulce,Rutinas Diarias (Acciones y Hogar),dame dinero para un dulce,"['dame', 'dinero', 'para', 'un', 'dulce']","['dame dinero', 'dinero para', 'para un', 'un dulce']","['dame dinero para', 'dinero para un', 'para un dulce']"
que rico huele,Preguntas Simples (Peticiones de informacion),que rico huele,"['que', 'rico', 'huele']","['que rico', 'rico huele']",['que rico huele']
cocinemos algo,Juego y Ocio,cocinemos algo,"['cocinemos', 'algo']",['cocinemos algo'],[]
quiero gelatina,Rutinas Diarias (Acciones y Hogar),quiero gelatina,"['quiero', 'gelatina']",['quiero gelatina'],[]
me duele la panza,Alimentacion (Comidas y Bebidas),me duele la panza,"['me', 'duele', 'la', 'panza']","['me duele', 'duele la', 'la panza']","['me duele la', 'duele la panza']"
comi mucho,Rutinas Diarias (Acciones y Hogar),comi mucho,"['comi', 'mucho']",['comi mucho'],[]
quiero un poco mas,Rutinas Diarias (Acciones y Hogar),quiero un poco mas,"['quiero', 'un', 'poco', 'mas']","['quiero un', 'un poco', 'poco mas']","['quiero un poco', 'un poco mas']"
puedo repetir,Preguntas Simples (Peticiones de informacion),puedo repetir,"['puedo', 'repetir']",['puedo repetir'],[]
dame la sopa,Alimentacion (Comidas y Bebidas),dame la sopa,"['dame', 'la', 'sopa']","['dame la', 'la sopa']",['dame la sopa']
quiero comer pescado,Alimentacion (Comidas y Bebidas),quiero comer pescado,"['quiero', 'comer', 'pescado']","['quiero comer', 'comer pescado']",['quiero comer pescado']
no me gusta el brocoli,Rutinas Diarias (Acciones y Hogar),no me gusta el brocoli,"['no', 'me', 'gusta', 'el', 'brocoli']","['no me', 'me gusta', 'gusta el', 'el brocoli']","['no me gusta', 'me gusta el', 'gusta el brocoli']"
quiero zanahorias,Rutinas Diarias (Acciones y Hogar),quiero zanahorias,"['quiero', 'zanahorias']",['quiero zanahorias'],[]
dame mi tenedor,Rutinas Diarias (Acciones y Hogar),dame mi tenedor,"['dame', 'mi', 'tenedor']","['dame mi', 'mi tenedor']",['dame mi tenedor']
se me cayo el tenedor,Rutinas Diarias (Acciones y Hogar),se me cayo el tenedor,"['se', 'me', 'cayo', 'el', 'tenedor']","['se me', 'me cayo', 'cayo el', 'el tenedor']","['se me cayo', 'me cayo el', 'cayo el tenedor']"
necesito una servilleta,Rutinas Diarias (Acciones y Hogar),necesito una servilleta,"['necesito', 'una', 'servilleta']","['necesito una', 'una servilleta']",['necesito una servilleta']
esta muy dulce,Rutinas Diarias (Acciones y Hogar),esta muy dulce,"['esta', 'muy', 'dulce']","['esta muy', 'muy dulce']",['esta muy dulce']
esta muy acido,Rutinas Diarias (Acciones y Hogar),esta muy acido,"['esta', 'muy', 'acido']","['esta muy', 'muy acido']",['esta muy acido']
pica mucho,Rutinas Diarias (Acciones y Hogar),pica mucho,"['pica', 'mucho']",['pica mucho'],[]
no pica,Rutinas Diarias (Acciones y Hogar),no pica,"['no', 'pica']",['no pica'],[]
quiero un vaso de leche fria,Alimentacion (Comidas y Bebidas),quiero un vaso de leche fria,"['quiero', 'un', 'vaso', 'de', 'leche', 'fria']","['quiero un', 'un vaso', 'vaso de', 'de leche', 'leche fria']","['quiero un vaso', 'un vaso de', 'vaso de leche', 'de leche fria']"
leche tibia por favor,Alimentacion (Comidas y Bebidas),leche tibia por favor,"['leche', 'tibia', 'por', 'favor']","['leche tibia', 'tibia por', 'por favor']","['leche tibia por', 'tibia por favor']"
dame mi botella de agua,Alimentacion (Comidas y Bebidas),dame mi botella de agua,"['dame', 'mi', 'botella', 'de', 'agua']","['dame mi', 'mi botella', 'botella de', 'de agua']","['dame mi botella', 'mi botella de', 'botella de agua']"
tengo sed otra vez,Necesidades Basicas (Higiene y Fisiologia),tengo sed otra vez,"['tengo', 'sed', 'otra', 'vez']","['tengo sed', 'sed otra', 'otra vez']","['tengo sed otra', 'sed otra vez']"
puedo picar una galleta,Alimentacion (Comidas y Bebidas),puedo picar una galleta,"['puedo', 'picar', 'una', 'galleta']","['puedo picar', 'picar una', 'una galleta']","['puedo picar una', 'picar una galleta']"
solo quiero fruta,Alimentacion (Comidas y Bebidas),solo quiero fruta,"['solo', 'quiero', 'fruta']","['solo quiero', 'quiero fruta']",['solo quiero fruta']
hoy no quiero almorzar,Alimentacion (Comidas y Bebidas),hoy no quiero almorzar,"['hoy', 'no', 'quiero', 'almorzar']","['hoy no', 'no quiero', 'quiero almorzar']","['hoy no quiero', 'no quiero almorzar']"
me guardas mi cena,Alimentacion (Comidas y Bebidas),me guardas mi cena,"['me', 'guardas', 'mi', 'cena']","['me guardas', 'guardas mi', 'mi cena']","['me guardas mi', 'guardas mi cena']"
voy a tomar desayuno,Alimentacion (Comidas y Bebidas),voy a tomar desayuno,"['voy', 'a', 'tomar', 'desayuno']","['voy a', 'a tomar', 'tomar desayuno']","['voy a tomar', 'a tomar desayuno']"
es hora de la merienda,Alimentacion (Comidas y Bebidas),es hora de la merienda,"['es', 'hora', 'de', 'la', 'merienda']","['es hora', 'hora de', 'de la', 'la merienda']","['es hora de', 'hora de la', 'de la merienda']"
que hay de lonche,Preguntas Simples (Peticiones de informacion),que hay de lonche,"['que', 'hay', 'de', 'lonche']","['que hay', 'hay de', 'de lonche']","['que hay de', 'hay de lonche']"
quiero comer una tuna,Alimentacion (Comidas y Bebidas),quiero comer una tuna,"['quiero', 'comer', 'una', 'tuna']","['quiero comer', 'comer una', 'una tuna']","['quiero comer una', 'comer una tuna']"
me pelas una naranja,Rutinas Diarias (Acciones y Hogar),me pelas una naranja,"['me', 'pelas', 'una', 'naranja']","['me pelas', 'pelas una', 'una naranja']","['me pelas una', 'pelas una naranja']"
corta la manzana,Rutinas Diarias (Acciones y Hogar),corta la manzana,"['corta', 'la', 'manzana']","['corta la', 'la manzana']",['corta la manzana']
quiero un te de manzanilla,Alimentacion (Comidas y Bebidas),quiero un te de manzanilla,"['quiero', 'un', 'te', 'de', 'manzanilla']","['quiero un', 'un te', 'te de', 'de manzanilla']","['quiero un te', 'un te de', 'te de manzanilla']"
dame agua de anis,Alimentacion (Comidas y Bebidas),dame agua de anis,"['dame', 'agua', 'de', 'anis']","['dame agua', 'agua de', 'de anis']","['dame agua de', 'agua de anis']"
no quiero la sopa,Alimentacion (Comidas y Bebidas),no quiero la sopa,"['no', 'quiero', 'la', 'sopa']","['no quiero', 'quiero la', 'la sopa']","['no quiero la', 'quiero la sopa']"
el pollo esta rico,Alimentacion (Comidas y Bebidas),el pollo esta rico,"['el', 'pollo', 'esta', 'rico']","['el pollo', 'pollo esta', 'esta rico']","['el pollo esta', 'pollo esta rico']"
me gusta el pure,Rutinas Diarias (Acciones y Hogar),me gusta el pure,"['me', 'gusta', 'el', 'pure']","['me gusta', 'gusta el', 'el pure']","['me gusta el', 'gusta el pure']"
quiero comer papas,Alimentacion (Comidas y Bebidas),quiero comer papas,"['quiero', 'comer', 'papas']","['quiero comer', 'comer papas']",['quiero comer papas']
me das mayonesa,Rutinas Diarias (Acciones y Hogar),me das mayonesa,"['me', 'das', 'mayonesa']","['me das', 'das mayonesa']",['me das mayonesa']
quiero ketchup,Rutinas Diarias (Acciones y Hogar),quiero ketchup,"['quiero', 'ketchup']",['quiero ketchup'],[]
dame mostaza,Rutinas Diarias (Acciones y Hogar),dame mostaza,"['dame', 'mostaza']",['dame mostaza'],[]
mi comida esta fria,Rutinas Diarias (Acciones y Hogar),mi comida esta fria,"['mi', 'comida', 'esta', 'fria']","['mi comida', 'comida esta', 'esta fria']","['mi comida esta', 'comida esta fria']"
calienta mi comida,Rutinas Diarias (Acciones y Hogar),calienta mi comida,"['calienta', 'mi', 'comida']","['calienta mi', 'mi comida']",['calienta mi comida']
vamos a la panaderia,Alimentacion (Comidas y Bebidas),vamos a la panaderia,"['vamos', 'a', 'la', 'panaderia']","['vamos a', 'a la', 'la panaderia']","['vamos a la', 'a la panaderia']"
compra pan,Alimentacion (Comidas y Bebidas),compra pan,"['compra', 'pan']",['compra pan'],[]
quiero pan con mantequilla,Alimentacion (Comidas y Bebidas),quiero pan con mantequilla,"['quiero', 'pan', 'con', 'mantequilla']","['quiero pan', 'pan con', 'con mantequilla']","['quiero pan con', 'pan con mantequilla']"
pan con queso,Alimentacion (Comidas y Bebidas),pan con queso,"['pan', 'con', 'queso']","['pan con', 'con queso']",['pan con queso']
quiero pan con pollo,Alimentacion (Comidas y Bebidas),quiero pan con pollo,"['quiero', 'pan', 'con', 'pollo']","['quiero pan', 'pan con', 'con pollo']","['quiero pan con', 'pan con pollo']"
dame un jugo de fresa,Alimentacion (Comidas y Bebidas),dame un jugo de fresa,"['dame', 'un', 'jugo', 'de', 'fresa']","['dame un', 'un jugo', 'jugo de', 'de fresa']","['dame un jugo', 'un jugo de', 'jugo de fresa']"
jugo de papaya por favor,Alimentacion (Comidas y Bebidas),jugo de papaya por favor,"['jugo', 'de', 'papaya', 'por', 'favor']","['jugo de', 'de papaya', 'papaya por', 'por favor']","['jugo de papaya', 'de papaya por', 'papaya por favor']"
tengo ganas de un cafe,Alimentacion (Comidas y Bebidas),tengo ganas de un cafe,"['tengo', 'ganas', 'de', 'un', 'cafe']","['tengo ganas', 'ganas de', 'de un', 'un cafe']","['tengo ganas de', 'ganas de un', 'de un cafe']"
hace calor quiero un helado,Rutinas Diarias (Acciones y Hogar),hace calor quiero un helado,"['hace', 'calor', 'quiero', 'un', 'helado']","['hace calor', 'calor quiero', 'quiero un', 'un helado']","['hace calor quiero', 'calor quiero un', 'quiero un helado']"
tengo frio quiero algo caliente,Rutinas Diarias (Acciones y Hogar),tengo frio quiero algo caliente,"['tengo', 'frio', 'quiero', 'algo', 'caliente']","['tengo frio', 'frio quiero', 'quiero algo', 'algo caliente']","['tengo frio quiero', 'frio quiero algo', 'quiero algo caliente']"
dame una paleta de hielo,Rutinas Diarias (Acciones y Hogar),dame una paleta de hielo,"['dame', 'una', 'paleta', 'de', 'hielo']","['dame una', 'una paleta', 'paleta de', 'de hielo']","['dame una paleta', 'una paleta de', 'paleta de hielo']"
quiero un chupetin,Rutinas Diarias (Acciones y Hogar),quiero un chupetin,"['quiero', 'un', 'chupetin']","['quiero un', 'un chupetin']",['quiero un chupetin']
me invitas un chocolate,Rutinas Diarias (Acciones y Hogar),me invitas un chocolate,"['me', 'invitas', 'un', 'chocolate']","['me invitas', 'invitas un', 'un chocolate']","['me invitas un', 'invitas un chocolate']"
vamos a comer a la calle,Alimentacion (Comidas y Bebidas),vamos a comer a la calle,"['vamos', 'a', 'comer', 'a', 'la', 'calle']","['vamos a', 'a comer', 'comer a', 'a la', 'la calle']","['vamos a comer', 'a comer a', 'comer a la', 'a la calle']"
pidamos delivery,Rutinas Diarias (Acciones y Hogar),pidamos delivery,"['pidamos', 'delivery']",['pidamos delivery'],[]
quiero chifa,Rutinas Diarias (Acciones y Hogar),quiero chifa,"['quiero', 'chifa']",['quiero chifa'],[]
quiero pollo a la brasa,Alimentacion (Comidas y Bebidas),quiero pollo a la brasa,"['quiero', 'pollo', 'a', 'la', 'brasa']","['quiero pollo', 'pollo a', 'a la', 'la brasa']","['quiero pollo a', 'pollo a la', 'a la brasa']"
que vamos a cocinar,Preguntas Simples (Peticiones de informacion),que vamos a cocinar,"['que', 'vamos', 'a', 'cocinar']","['que vamos', 'vamos a', 'a cocinar']","['que vamos a', 'vamos a cocinar']"
te ayudo a cocinar,Rutinas Diarias (Acciones y Hogar),te ayudo a cocinar,"['te', 'ayudo', 'a', 'cocinar']","['te ayudo', 'ayudo a', 'a cocinar']","['te ayudo a', 'ayudo a cocinar']"
lavemos los platos,Rutinas Diarias (Acciones y Hogar),lavemos los platos,"['lavemos', 'los', 'platos']","['lavemos los', 'los platos']",['lavemos los platos']
lava los servicios,Rutinas Diarias (Acciones y Hogar),lava los servicios,"['lava', 'los', 'servicios']","['lava los', 'los servicios']",['lava los servicios']
seca los platos,Rutinas Diarias (Acciones y Hogar),seca los platos,"['seca', 'los', 'platos']","['seca los', 'los platos']",['seca los platos']
guarda la comida,Rutinas Diarias (Acciones y Hogar),guarda la comida,"['guarda', 'la', 'comida']","['guarda la', 'la comida']",['guarda la comida']
no dejes la comida afuera,Rutinas Diarias (Acciones y Hogar),no dejes la comida afuera,"['no', 'dejes', 'la', 'comida', 'afuera']","['no dejes', 'dejes la', 'la comida', 'comida afuera']","['no dejes la', 'dejes la comida', 'la comida afuera']"
se va a malograr,Rutinas Diarias (Acciones y Hogar),se va a malograr,"['se', 'va', 'a', 'malograr']","['se va', 'va a', 'a malograr']","['se va a', 'va a malograr']"
huele feo la comida,Rutinas Diarias (Acciones y Hogar),huele feo la comida,"['huele', 'feo', 'la', 'comida']","['huele feo', 'feo la', 'la comida']","['huele feo la', 'feo la comida']"
ya esta el almuerzo,Alimentacion (Comidas y Bebidas),ya esta el almuerzo,"['ya', 'esta', 'el', 'almuerzo']","['ya esta', 'esta el', 'el almuerzo']","['ya esta el', 'esta el almuerzo']"
